iter	Passed	Remaining
429	18775	24888
430	18807	24828
431	18844	24776
432	18881	24724
433	18918	24672
434	18948	24611
435	18985	24559
436	19017	24500
437	19053	24448
438	19108	24418
439	19149	24371
440	19193	24328
441	19248	24300
442	19294	24259
443	19343	24223
444	19379	24170
445	19420	24123
446	19456	24070
447	19496	24021
448	19541	23980
449	19579	23929
450	19618	23881
451	19653	23827
452	19693	23780
453	19737	23736
454	19774	23686
455	19815	23639
456	19851	23587
457	19891	23540
458	19932	23493
459	19974	23448
460	20011	23397
461	20049	23347
462	20085	23295
463	20117	23239
464	20152	23186
465	20195	23142
466	20230	23089
467	20270	23042
468	20312	22997
469	20348	22945
470	20393	22905
471	20444	22870
472	20488	22827
473	20527	22779
474	20566	22731
475	20600	22677
476	20635	22625
477	20680	22584
478	20721	22538
479	20766	22497
480	20802	22445
481	20845	22401
482	20887	22357
483	20934	22318
484	20971	22269
485	21011	22222
486	21048	22171
487	21087	22124
488	21129	22080
489	21167	22031
490	21201	21979
491	21237	21928
492	21270	21874
493	21311	21828
494	21346	21778
495	21380	21725
496	21415	21673
497	21459	21631
498	21494	21580
499	21542	21542
500	21588	21501
501	21637	21465
502	21688	21429
503	21737	21392
504	21791	21359
505	21835	21317
506	21872	21268
507	21913	21223
508	21960	21183
509	22010	21147
510	22065	21115
511	22105	21069
512	22143	21021
513	22187	20979
514	22233	20938
515	22277	20895
516	22316	20849
517	22353	20800
518	22390	20751
519	22431	20706
520	22474	20662
521	22512	20614
522	22549	20566
523	22583	20515
524	22618	20463
525	22660	20420
526	22702	20376
527	22735	20324
528	22771	20274
529	22806	20224
530	22849	20181
531	22903	20148
532	22951	20109
533	22998	20069
534	23039	20024
535	23074	19975
536	23110	19925
537	23152	19882
538	23187	19832
539	23223	19782
540	23260	19734
541	23298	19687
542	23332	19636
543	23371	19590
544	23414	19548
545	23450	19499
546	23487	19451
547	23523	19402
548	23561	19355
549	23603	19312
550	23645	19268
551	23681	19219
552	23717	19171
553	23754	19123
554	23790	19075
555	23832	19031
556	23868	18983
557	23905	18935
558	23941	18887
559	23976	18838
560	24011	18789
561	24055	18747
562	24106	18711
563	24152	18670
564	24198	18630
565	24246	18591
566	24296	18554
567	24333	18507
568	24372	18461
569	24431	18430
570	24485	18395
571	24534	18357
572	24572	18311
573	24608	18263
574	24644	18215
575	24679	18166
576	24714	18118
577	24758	18076
578	24795	18028
579	24833	17983
580	24869	17935
581	24903	17886
582	24940	17839
583	24974	17789
584	25021	17750
585	25061	17705
586	25100	17660
587	25133	17610
588	25165	17560
589	25199	17511
590	25235	17464
591	25274	17419
592	25317	17376
593	25362	17335
594	25408	17294
595	25461	17258
596	25506	17217
597	25539	17168
598	25575	17121
599	25612	17074
600	25653	17031
601	25697	16989
602	25732	16941
603	25767	16893
604	25804	16847
605	25841	16801
606	25881	16757
607	25920	16711
608	25954	16663
609	25988	16615
610	26027	16570
611	26059	16521
612	26108	16482
613	26146	16437
614	26180	16389
615	26215	16342
616	26249	16293
617	26296	16254
618	26341	16213
619	26378	16167
620	26418	16123
621	26452	16075
622	26491	16030
623	26538	15991
624	26590	15954
625	26636	15914
626	26679	15871
627	26712	15823
628	26747	15776
629	26781	15728
630	26828	15689
631	26865	15643
632	26900	15596
633	26937	15550
634	26974	15505
635	27010	15458
636	27063	15422
637	27100	15377
638	27135	15330
639	27169	15282
640	27204	15236
641	27236	15187
642	27268	15139
643	27311	15097
644	27347	15051
645	27388	15008
646	27423	14961
647	27455	14914
648	27494	14870
649	27528	14823
650	27565	14777
651	27602	14732
652	27637	14686
653	27680	14644
654	27735	14608
655	27787	14571
656	27832	14530
657	27880	14491
658	27929	14452
659	27986	14417
660	28039	14380
661	28091	14342
662	28128	14297
663	28167	14253
664	28206	14209
665	28240	14162
666	28275	14116
667	28314	14072
668	28348	14025
669	28393	13985
670	28427	13938
671	28467	13894
672	28501	13848
673	28536	13802
674	28571	13756
675	28606	13710
676	28648	13668
677	28682	13622
678	28719	13577
679	28753	13531
680	28789	13485
681	28830	13443
682	28870	13399
683	28904	13353
684	28937	13306
685	28971	13261
686	29007	13215
687	29042	13170
688	29075	13124
689	29125	13085
690	29173	13045
691	29221	13006
692	29275	12968
693	29325	12930
694	29386	12896
695	29435	12857
696	29490	12820
697	29553	12786
698	29610	12750
699	29661	12712
700	29717	12675
701	29777	12640
702	29838	12605
703	29888	12566
704	29936	12526
705	29994	12490
706	30043	12450
707	30106	12416
708	30166	12381
709	30232	12348
710	30284	12309
711	30327	12267
712	30378	12228
713	30428	12188
714	30486	12152
715	30537	12112
716	30582	12070
717	30639	12034
718	30710	12002
719	30778	11969
720	30843	11935
721	30895	11895
722	30948	11857
723	31014	11823
724	31092	11793
725	31154	11757
726	31198	11715
727	31248	11675
728	31298	11634
729	31365	11600
730	31417	11561
731	31464	11519
732	31515	11479
733	31568	11440
734	31631	11404
735	31680	11363
736	31721	11319
737	31777	11281
738	31835	11243
739	31886	11203
740	31938	11163
741	31986	11121
742	32044	11083
743	32097	11044
744	32144	11002
745	32184	10958
746	32230	10916
747	32279	10874
748	32327	10833
749	32374	10791
750	32420	10749
751	32470	10708
752	32509	10663
753	32549	10619
754	32582	10573
755	32616	10526
756	32650	10480
757	32692	10437
758	32726	10391
759	32764	10346
760	32798	10300
761	32838	10256
762	32872	10210
763	32908	10165
764	32950	10122
765	32985	10076
766	33030	10034
767	33067	9989
768	33102	9943
769	33135	9897
770	33176	9854
771	33211	9808
772	33250	9764
773	33286	9719
774	33323	9674
775	33357	9628
776	33401	9586
777	33435	9540
778	33485	9499
779	33539	9459
780	33592	9419
781	33649	9380
782	33699	9339
783	33737	9295
784	33774	9250
785	33808	9204
786	33842	9159
787	33890	9117
788	33924	9072
789	33964	9028
790	34001	8983
791	34037	8939
792	34078	8895
793	34125	8853
794	34163	8809
795	34201	8765
796	34241	8721
797	34280	8677
798	34319	8633
799	34364	8591
800	34405	8547
801	34444	8503
802	34479	8458
803	34517	8414
804	34553	8370
805	34600	8328
806	34636	8283
807	34671	8238
808	34711	8195
809	34760	8153
810	34806	8111
811	34858	8070
812	34905	8028
813	34946	7985
814	34986	7941
815	35024	7897
816	35061	7853
817	35104	7810
818	35145	7767
819	35182	7722
820	35215	7677
821	35250	7633
822	35285	7588
823	35320	7544
824	35365	7501
825	35402	7457
826	35442	7414
827	35488	7371
828	35527	7328
829	35568	7285
830	35676	7255
831	35721	7213
832	35762	7169
833	35801	7125
834	35840	7082
835	35880	7038
836	35928	6996
837	35980	6955
838	36027	6913
839	36085	6873
840	36138	6832
841	36191	6791
842	36233	6748
843	36274	6704
844	36321	6662
845	36376	6621
846	36428	6580
847	36483	6539
848	36536	6498
849	36587	6456
850	36636	6414
851	36681	6371
852	36725	6328
853	36763	6285
854	36812	6243
855	36853	6199
856	36887	6155
857	36922	6110
858	36962	6067
859	36998	6023
860	37048	5981
861	37088	5937
862	37129	5894
863	37176	5851
864	37236	5811
865	37298	5771
866	37357	5730
867	37417	5690
868	37495	5652
869	37546	5610
870	37588	5567
871	37628	5523
872	37674	5480
873	37725	5438
874	37769	5395
875	37809	5351
876	37849	5308
877	37891	5265
878	37938	5222
879	37984	5179
880	38021	5135
881	38059	5091
882	38099	5048
883	38135	5004
884	38191	4962
885	38241	4920
886	38282	4877
887	38320	4833
888	38356	4789
889	38398	4745
890	38445	4703
891	38481	4659
892	38522	4615
893	38578	4574
894	38637	4532
895	38694	4491
896	38750	4449
897	38791	4406
898	38828	4362
899	38876	4319
900	38913	4275
901	38948	4231
902	38984	4187
903	39019	4143
904	39064	4100
905	39108	4057
906	39146	4013
907	39182	3970
908	39217	3926
909	39256	3882
910	39297	3839
911	39341	3796
912	39379	3752
913	39419	3709
914	39458	3665
915	39494	3621
916	39532	3578
917	39580	3535
918	39617	3491
919	39660	3448
920	39704	3405
921	39737	3361
922	39777	3318
923	39833	3276
924	39885	3233
925	39940	3191
926	40014	3151
927	40083	3109
928	40143	3068
929	40203	3026
930	40259	2983
931	40325	2942
932	40382	2899
933	40446	2858
934	40503	2815
935	40569	2773
936	40627	2731
937	40687	2689
938	40747	2647
939	40805	2604
940	40867	2562
941	40920	2519
942	40973	2476
943	41029	2433
944	41092	2391
945	41147	2348
946	41184	2304
947	41250	2262
948	41311	2220
949	41363	2177
950	41426	2134
951	41487	2091
952	41556	2049
953	41622	2006
954	41682	1964
955	41741	1921
956	41798	1878
957	41848	1834
958	41903	1791
959	41953	1748
960	42038	1706
961	42089	1662
962	42142	1619
963	42188	1575
964	42232	1531
965	42277	1488
966	42318	1444
967	42358	1400
968	42402	1356
969	42444	1312
970	42482	1268
971	42526	1225
972	42570	1181
973	42612	1137
974	42665	1093
975	42706	1050
976	42747	1006
977	42795	962
978	42835	918
979	42879	875
980	42929	831
981	42978	787
982	43033	744
983	43071	700
984	43110	656
985	43146	612
986	43183	568
987	43224	524
988	43267	481
989	43306	437
990	43347	393
991	43390	349
992	43429	306
993	43470	262
994	43514	218
995	43554	174
996	43598	131
997	43642	87
998	43681	43
999	43719	0
