iter	MultiClass
0	3.141456164
1	3.010482148
2	2.872578246
3	2.709135117
4	2.561091535
5	2.442202228
6	2.326107443
7	2.212962358
8	2.134472318
9	2.023838533
10	1.932047838
11	1.843565121
12	1.765464301
13	1.681755043
14	1.626417595
15	1.566279899
16	1.523337442
17	1.474495342
18	1.420486459
19	1.372184882
20	1.321749861
21	1.281400183
22	1.235384557
23	1.190578121
24	1.148820092
25	1.104027791
26	1.062433331
27	1.024639169
28	0.9926148751
29	0.9577991458
30	0.929926992
31	0.9024441831
32	0.8705335388
33	0.8510946086
34	0.8297884561
35	0.813885627
36	0.7948215682
37	0.7720945713
38	0.7508469028
39	0.7293855283
40	0.7118208191
41	0.6919800552
42	0.6726789229
43	0.652590493
44	0.636518158
45	0.6211074359
46	0.6076213783
47	0.594287023
48	0.5791721488
49	0.5652756673
50	0.5558525826
51	0.5429332743
52	0.5349638944
53	0.5231926445
54	0.5129513205
55	0.4999584532
56	0.4903106755
57	0.4809320922
58	0.469832393
59	0.4622049375
60	0.4535902728
61	0.4434653064
62	0.4367773684
63	0.428059177
64	0.4189553165
65	0.410666038
66	0.4032351716
67	0.3965526082
68	0.3893413191
69	0.3825534174
70	0.3771479718
71	0.3710561832
72	0.3654792737
73	0.3586628664
74	0.3524143872
75	0.3464123731
76	0.3407495706
77	0.3350860955
78	0.3302817274
79	0.3269446681
80	0.3218034066
81	0.3170179867
82	0.3126875939
83	0.3077165433
84	0.3042901703
85	0.3000793552
86	0.2951416539
87	0.2907367813
88	0.2871534619
89	0.2832921419
90	0.2790892294
91	0.2758370201
92	0.2722815217
93	0.269298334
94	0.2657211622
95	0.2618890181
96	0.2592205998
97	0.2565846476
98	0.2538976697
99	0.2503533859
100	0.2474046005
101	0.2446449446
102	0.2424823194
103	0.2397478935
104	0.2372758068
105	0.2344429533
106	0.2317967654
107	0.229402122
108	0.2268426556
109	0.2243628321
110	0.2220282815
111	0.2198184349
112	0.2173793337
113	0.2153673774
114	0.2134207587
115	0.211488423
116	0.2097992786
117	0.2076866601
118	0.2058394294
119	0.2040123297
120	0.2023340327
121	0.2005157272
122	0.1990600524
123	0.197395322
124	0.1955471512
125	0.193806003
126	0.1925101801
127	0.1911212863
128	0.1895351795
129	0.1877212423
130	0.1861851601
131	0.1844026104
132	0.1828556134
133	0.1815325618
134	0.1800481609
135	0.1788982563
136	0.1773825877
137	0.176014821
138	0.1748764589
139	0.1736540945
140	0.1726669953
141	0.1713037926
142	0.1700978347
143	0.1687509031
144	0.1674676745
145	0.1662174171
146	0.1651768297
147	0.1644437952
148	0.1636193115
149	0.1625252389
150	0.1613798032
